City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pagadian,32,PH,1570062984,77,7.83,123.44,77.93,0.96
Talnakh,75,RU,1570062987,90,69.49,88.39,33.8,6.71
Kupang,20,ID,1570062989,61,-10.16,123.6,78.8,2.24
Tonosho,75,JP,1570062991,88,34.48,134.18,80.01,2.24
Charlestown,90,US,1570062993,93,41.38,-71.64,66.2,6.93
Yinchuan,45,CN,1570062995,52,38.48,106.21,64.99,1.99
Hrubieszow,67,PL,1570062998,93,50.8,23.89,54.44,16.6
Bundaberg,40,AU,1570063000,43,-24.87,152.35,78.01,12.75
Biga,0,TR,1570063002,82,40.23,27.24,64.0,4.7
Yashkul,0,RU,1570063004,70,46.17,45.34,59.1,5.93
Nizhneudinsk,98,RU,1570062724,66,54.91,99.03,32.01,3.11
Upernavik,40,GL,1570062963,70,72.79,-56.15,36.49,11.41
Port-Cartier,90,CA,1570063013,64,50.03,-66.88,39.99,4.7
Ciudad Bolivar,62,VE,1570063015,81,8.12,-63.55,79.3,11.03
Maldonado,90,UY,1570063017,76,-34.91,-54.96,51.8,16.11
Pedregulho,4,BR,1570063021,40,-20.25,-47.48,75.8,2.51
Nokha,3,IN,1570063023,48,27.56,73.47,85.33,8.72
Mount Gambier,90,AU,1570063020,93,-37.83,140.78,55.4,13.87
Teluknaga,20,ID,1570063028,78,-6.1,106.64,82.4,3.36
Dongsheng,1,CN,1570063030,51,29.72,112.52,76.87,2.8
Morondava,41,MG,1570063032,79,-20.3,44.28,77.93,9.06
Saint Anthony,1,US,1570063034,42,43.97,-111.68,48.2,10.29
Andreyevo,94,RU,1570063037,86,55.95,41.15,54.13,4.97
Jinchang,83,CN,1570063039,51,38.52,102.19,52.66,5.46
Noyabrsk,100,RU,1570063041,94,63.2,75.45,47.24,13.96
Saint-Pierre,0,FR,1570062960,86,48.95,4.24,41.0,2.24
Lamar,1,US,1570063045,55,38.09,-102.62,64.4,11.41
Klamath Falls,1,US,1570063047,21,42.22,-121.78,61.0,8.05
Porbandar,100,IN,1570063050,75,21.64,69.61,81.31,9.15
Yining,6,CN,1570063052,58,29.04,114.56,73.45,0.54
Medicine Hat,5,CA,1570063007,70,50.04,-110.68,43.0,6.93
Dukat,0,AL,1570063056,91,40.25,19.57,69.01,1.99
La Rioja,0,AR,1570063059,27,-29.41,-66.86,50.8,6.69
Bozeman,1,US,1570062816,39,45.68,-111.04,52.0,9.17
Martapura,11,ID,1570063063,77,-3.41,114.85,80.27,6.04
Sarangani,14,PH,1570063065,75,5.4,125.46,81.33,4.65
Le Port,58,FR,1570063067,74,42.87,1.37,60.01,3.0
Atikokan,100,CA,1570063069,76,48.76,-91.62,41.96,4.61
Srandakan,100,ID,1570063072,88,-7.94,110.25,75.62,3.69
Kaabong,0,UG,1570063074,79,3.51,34.14,66.23,10.33
Tigzirt,0,DZ,1570063076,84,36.57,4.2,57.57,5.17
Mountain Home,1,US,1570063078,26,43.13,-115.69,59.0,10.29
Vilhena,40,BR,1570063069,83,-12.74,-60.15,77.0,4.7
Cascais,0,PT,1570063085,82,38.7,-9.42,63.0,11.41
Miri,95,NG,1570063087,81,10.31,9.75,72.04,4.74
Tazovskiy,100,RU,1570063089,97,67.47,78.7,40.65,16.69
Nyurba,94,RU,1570063037,84,63.29,118.35,28.79,4.05
Taksimo,3,RU,1570063093,55,56.36,114.84,25.1,3.02
Maraba,0,BR,1570063098,94,-5.35,-49.1,78.8,4.7
Sisimiut,67,GL,1570063100,62,66.94,-53.67,41.86,9.46
Behbahan,0,IR,1570063102,29,30.59,50.24,75.2,3.51
Saldanha,66,PT,1570063104,56,41.42,-6.55,58.09,2.75
Beloha,100,MG,1570063106,80,-25.17,45.06,70.21,13.35
Aloleng,99,PH,1570063109,70,16.13,119.78,81.62,3.91
Cockburn Town,97,TC,1570063005,70,21.46,-71.14,83.27,5.82
Voh,58,NC,1570063113,68,-20.95,164.69,70.04,18.1
Coxim,100,BR,1570063115,78,-18.5,-54.75,75.05,3.44
Tiznit,14,MA,1570063117,78,29.7,-9.73,70.01,21.21
Montclair,90,US,1570063119,88,40.83,-74.21,75.99,7.61
Ntoum,20,GA,1570063122,88,0.39,9.76,78.8,8.05
Dicabisagan,64,PH,1570063124,88,17.08,122.42,76.72,2.71
Cururupu,52,BR,1570063126,89,-1.82,-44.87,73.32,2.51
Scarborough,31,GB,1570063128,87,54.28,-0.41,46.4,5.82
Anloga,40,GH,1570063130,94,5.79,0.9,75.2,3.36
Alofi,75,NU,1570063133,74,-19.06,-169.92,82.4,6.93
Santa Marta de Tormes,80,ES,1570063135,87,40.95,-5.63,55.99,1.12
Menomonie,90,US,1570063137,100,44.88,-91.92,51.01,13.87
Lima,90,PE,1570062927,88,-12.06,-77.04,62.6,9.17
Suoyarvi,73,RU,1570063141,91,62.08,32.35,31.83,9.01
Gamba,36,CN,1570063143,81,28.28,88.52,32.39,1.68
Lady Frere,78,ZA,1570063146,38,-31.7,27.23,54.71,4.25
Alegria,81,PH,1570063148,72,9.46,125.58,81.29,1.5
Kuopio,0,FI,1570063150,74,62.89,27.68,35.6,12.75
Fatehpur,48,PK,1570063152,47,31.18,71.21,81.62,3.89
Aras,63,ES,1570063154,87,42.56,-2.36,55.99,6.93
Berezniki,99,RU,1570063157,100,59.41,56.8,46.99,5.99
Doha,1,QA,1570063159,58,25.29,51.53,89.6,4.7
Dalby,0,AU,1570063163,33,-27.18,151.26,71.6,6.93
Touros,0,BR,1570063166,88,-5.2,-35.46,73.4,4.7
Sanski Most,75,BA,1570063168,93,44.77,16.67,57.2,3.36
Danilov,90,RU,1570063170,87,58.19,40.17,48.2,4.47
Ulladulla,0,AU,1570063174,32,-35.36,150.48,80.6,8.05
Coquimbo,0,CL,1570063178,71,-29.95,-71.34,53.6,10.29
Nakhon Thai,20,TH,1570063181,88,17.1,100.84,78.8,2.24
Lerwick,40,GB,1570063183,93,60.15,-1.15,48.2,8.05
Nauta,75,PE,1570063185,72,-4.51,-73.58,79.57,2.24
Northam,4,AU,1570063187,67,-31.65,116.67,62.6,8.05
Hun,20,BE,1570063189,81,50.34,4.87,46.4,9.17
Aykhal,75,RU,1570063192,100,65.95,111.51,23.0,4.47
Kerrobert,20,CA,1570063194,70,51.92,-109.14,44.6,18.34
Turukhansk,94,RU,1570063199,97,65.8,87.96,35.23,7.49
Comodoro Rivadavia,0,AR,1570063201,60,-45.87,-67.48,42.8,3.36
Belorechensk,0,RU,1570063203,93,44.77,39.87,53.6,4.47
Petatlan,75,MX,1570063205,74,17.52,-101.27,86.0,11.41
Abha,0,SA,1570063210,51,18.22,42.5,66.2,9.13
Tutoia,23,BR,1570063212,86,-2.76,-42.27,73.72,3.91
Tinskoy,100,RU,1570063214,64,56.15,96.92,36.76,10.65
Ystad,20,SE,1570063216,100,55.43,13.82,42.01,4.63
Bukachacha,0,RU,1570063218,48,52.99,116.91,32.21,2.93
Terra Santa,3,BR,1570063220,47,-2.1,-56.49,83.56,2.84
Gouyave,40,GD,1570063225,74,12.16,-61.73,84.2,16.11
Kumbo,97,CM,1570063227,89,6.21,10.69,62.0,3.49
Tsumeb,0,NA,1570063229,10,-19.25,17.72,62.86,6.76
Luis Correia,6,BR,1570063231,76,-2.88,-41.67,76.65,6.44
Kuching,75,MY,1570063233,94,1.56,110.34,77.0,1.12
Ferme-Neuve,35,CA,1570063236,73,46.7,-75.45,37.21,5.61
Waingapu,20,ID,1570063015,62,-9.65,120.26,79.48,11.56
Itaituba,100,BR,1570063240,72,-4.26,-55.99,79.51,1.79
Erzin,20,TR,1570063242,88,36.95,36.2,77.0,2.24
Passos,3,BR,1570063091,43,-20.72,-46.61,72.65,2.15
Khorixas,0,NA,1570063247,46,-20.37,14.96,56.06,1.72
Fuerte Olimpo,53,BR,1570063249,61,-21.04,-57.87,79.03,10.94
Taupo,50,NZ,1570063251,55,-38.68,176.08,46.86,3.87
San Vicente,20,EC,1570063253,83,-0.59,-80.41,73.4,10.29
Jupiter,75,US,1570063255,65,26.93,-80.09,82.4,12.75
Florianopolis,20,BR,1570063243,94,-27.6,-48.55,70.0,9.17
Berezovo,0,RU,1570063260,80,55.23,86.25,30.2,4.47
Luanda,75,AO,1570063262,88,-8.83,13.24,75.2,9.17
Ahuimanu,75,US,1570063264,62,21.44,-157.84,87.8,16.11
Kropotkin,0,RU,1570063268,53,45.43,40.58,64.0,8.59
Kedrovyy,0,RU,1570063272,56,56.17,91.82,41.0,6.71
College,90,US,1570063274,93,64.86,-147.8,41.0,11.41
Baruun-Urt,100,MN,1570063276,67,46.68,113.28,35.11,17.27
Laranja da Terra,48,BR,1570063279,70,-19.9,-41.06,64.5,3.15
Ilek,68,RU,1570063281,71,51.53,53.38,50.06,6.49
Laguna,40,BZ,1570063283,78,16.17,-88.94,82.4,1.3
Truth or Consequences,40,US,1570063285,31,33.13,-107.25,73.4,6.93
Pestovo,0,RU,1570063288,71,55.36,37.98,57.0,4.47
Tual,72,ID,1570063290,83,-5.67,132.75,79.6,12.39
Matagami,67,NG,1570063292,92,9.67,8.4,68.64,0.6
Auki,35,NG,1570063294,88,12.18,6.51,74.15,7.92
Cervo,5,BR,1570063296,37,-22.19,-46.24,71.41,5.12
Klaksvik,0,FO,1570063303,75,62.23,-6.59,44.6,8.05
Beirut,20,LB,1570063239,65,33.9,35.48,77.0,6.93
Lewiston,90,US,1570063249,76,44.1,-70.21,53.6,11.41
Dasoguz,0,TM,1570063309,59,41.84,59.97,46.4,9.17
Merauke,8,ID,1570063316,80,-8.49,140.4,78.63,19.22
Khani,0,GE,1570063318,46,41.96,42.96,71.6,25.28
Mayor Pablo Lagerenza,96,PY,1570063320,53,-19.93,-60.77,63.2,6.64
Pathein,38,MM,1570063091,81,16.78,94.73,79.49,4.16
Binon-an,100,PH,1570063325,79,11.39,123.14,81.65,1.14
High Level,20,CA,1570063327,38,58.52,-117.13,60.8,5.82
Votkinsk,100,RU,1570063329,95,57.05,53.99,52.0,4.0
Saint-Ambroise,75,CA,1570063331,65,48.56,-71.32,42.01,9.17
Tame,100,CO,1570063334,90,6.46,-71.72,53.03,5.79
Keffi,75,NG,1570063336,83,8.85,7.88,75.2,3.36
Kimbe,27,PG,1570063339,53,-5.56,150.15,89.84,2.19
